day,sex,malep1,malet,malepc1,malepc2,femalep1,femalet,femalepc1,femalepc2,offp1,offt,offpc1,offpc2,offjuvdays
4709000,male,0,0,3,18,0,0,2,15,0,0,3,18,20
4709000,female,0,0,2,19,0,0,3,17,0,0,3,17,20
4709000,male,0,0,2,18,0,0,5,17,0,0,2,17,20
4710000,female,0,0,2,19,0,0,2,18,0,0,2,19,20
4710000,female,0,0,2,19,0,0,4,15,0,0,2,19,20
4710000,female,0,0,3,16,0,0,2,16,0,0,2,16,20
4711000,male,0,0,2,16,0,0,2,17,0,0,2,16,20
4711000,male,0,0,2,16,0,0,2,17,0,0,2,16,20
4711000,male,0,0,2,18,0,0,2,17,0,0,2,17,20
4714000,female,0,0,3,17,0,0,2,17,0,0,3,17,20
4714000,male,0,0,2,17,0,0,3,19,0,0,3,17,20
4714000,female,0,0,5,16,0,0,1,15,0,0,1,15,20
4715000,female,0,0,4,18,0,0,3,17,0,0,3,18,20
4715000,female,0,0,2,18,0,0,2,16,0,0,2,16,20
4716000,male,0,0,1,17,0,0,0,18,0,0,0,17,20
4717000,male,0,0,2,16,0,0,3,18,0,0,3,18,20
4718000,male,0,0,2,16,0,0,0,18,0,0,2,18,20
4719000,female,0,0,2,17,0,0,3,17,0,0,3,17,20
4719000,male,0,0,1,21,0,0,5,17,0,0,1,21,20
